user_id,sign_up_date,age,gender,married,has_children,home_country,home_city,session_count,avg_session_duration,avg_page_clicks,total_trips,conversion_rate,cancellation_proportion,avg_days_depatrure_book,avg_days_checkin_book,total_flights_booked,avg_flight_price_usd,avg_flight_discount_amount,discounted_flight_proportion,round_trips_proportion,avg_flight_seats,avg_checked_bags,total_hotels_booked,avg_hotel_price_usd,avg_hotel_discount_amount,discounted_hotel_proportion,avg_hotel_rooms,avg_stay_duration_day,avg_flight_distance_from_home_km,weekend_trip_proportion,preferred_perk,perk_filter
204943,2022-06-06,41,M,FALSE,FALSE,canada,ottawa,11,2.09,33.09,9,0.82,0.11,41.16,45.28,9,452.61,0.15,0.27,1,1.3,1,8,174.22,,0.09,1.33,5.56,1918.62,0,no cancellation fees,1
204997,2022-06-06,38,F,TRUE,FALSE,usa,kansas city,9,7.67,52.78,4,0.44,0.5,54.33,64.17,4,1409.38,0.25,0.33,1,1.67,0.83,3,196.2,0.1,0.44,1.4,5.6,4451.21,0,no cancellation fees,1
205044,2022-06-06,40,F,TRUE,TRUE,canada,toronto,12,1.83,33.5,5,0.42,0.2,54.26,54.5,5,1628.83,0.05,0.17,1,2.83,1.5,5,192.67,0.2,0.17,2.17,4.5,2857.66,0.2,free checked bag,1
206011,2022-06-07,39,F,FALSE,TRUE,usa,kansas city,12,1.58,28.25,5,0.42,0.2,35.27,40.74,5,346.12,0.05,0.17,1,1.33,0.5,4,100,0.15,0.42,1,7,1437.9,0.2,no cancellation fees,1
216796,2022-06-16,22,F,FALSE,FALSE,usa,cincinnati,10,11.6,20.5,2,0.2,1,150.08,150.41,2,1508.5,0.17,0.5,1,1.5,1,2,213.5,0.1,0.3,1,11.5,5074.26,0,no cancellation fees,1
217114,2022-06-17,19,O,TRUE,TRUE,usa,long beach,11,0.55,26.45,1,0.09,1,129.56,,1,3716.2,0.05,0.18,1,2,1,1,,0.15,0.36,,,22631.66,0,no cancellation fees,1
217136,2022-06-17,38,F,FALSE,TRUE,usa,little rock,10,1.2,32.3,3,0.3,0.33,130.52,6.29,2,4262.9,0.18,0.3,1,2.33,1.33,3,236.5,,0.1,1,2,8846.36,0,free checked bag,1
220725,2022-06-20,40,F,FALSE,FALSE,usa,stockton,13,1.62,42.31,5,0.38,0.4,31.04,5.66,5,513.16,0.15,0.23,1,1,0.14,4,125,0.05,0.23,1,3.75,3023.64,0,no cancellation fees,1
224996,2022-06-23,43,F,FALSE,TRUE,canada,halifax,10,1,31.7,3,0.3,0.33,70,8.85,3,2444.16,,0.1,1,1.5,0.5,2,231,0.1,0.3,1,0,8345.47,0,no cancellation fees,1
226367,2022-06-25,43,F,FALSE,FALSE,usa,washington,9,1.22,13.89,4,0.44,0,47.7,7.6,4,1345.75,0.05,0.11,1,1.75,1,3,253,,0,1.33,1.67,3565.98,0,1 night free hotel with flight,1
228195,2022-06-26,27,F,FALSE,TRUE,usa,los angeles,11,6,21.91,1,0.09,1,104.98,,1,638.32,0.2,0.18,1,2,2,1,,,0.09,,,1752.22,0,free checked bag,1
228872,2022-06-27,35,M,FALSE,FALSE,usa,san antonio,11,2.09,21.91,4,0.36,0,6.57,6.85,3,326.46,0.33,0.18,1,2,1,4,87.75,,0,1.75,5,1563.69,0,1 night free hotel with flight,1
229009,2022-06-27,17,F,FALSE,FALSE,usa,stockton,10,6.9,26.4,4,0.4,0.5,157.69,9.3,4,892.12,0.3,0.3,1,1,0.17,4,149.5,,0.2,1,1.5,8873.12,0.25,no cancellation fees,1
229108,2022-06-27,25,F,FALSE,FALSE,usa,burlington,9,1.22,36.67,2,0.22,0.5,155.55,,2,358.73,0.2,0.33,1,1,0,1,,0.1,0.33,,,2072.74,0,no cancellation fees,1
229330,2022-06-27,47,F,TRUE,FALSE,usa,colorado springs,11,1.27,14.45,5,0.45,0,7.49,7.65,5,418.88,,0,1,1.6,0.2,5,176,0.1,0.09,1.6,2,1544.36,0,1 night free hotel with flight,1
232647,2022-06-30,18,F,FALSE,FALSE,usa,birmingham,10,2,12.7,3,0.3,0.33,96.15,94.85,2,1566.13,0.18,0.3,1,1,1,2,234.33,,0.1,1,9,13361.3,0,no cancellation fees,1
249521,2022-07-15,59,F,TRUE,TRUE,canada,ottawa,11,2,20.45,5,0.45,0,30.06,25.58,4,917.02,0.2,0.09,1,1.25,1,5,169.8,0.13,0.27,1,5.2,3266.8,0,1 night free hotel with flight,1
252835,2022-07-18,38,F,FALSE,TRUE,usa,chicago,14,3.29,24.71,9,0.64,0.11,7.88,8.09,9,281.98,0.3,0.14,0.89,1.1,0.8,7,133.5,0.05,0.14,1.13,2.38,1569.44,0,no cancellation fees,1
258451,2022-07-22,23,F,FALSE,FALSE,usa,miami,12,2.58,18.33,2,0.17,0.5,,6.05,1,,0.15,0.25,0,,,2,218.67,,0.08,1,12,,0,no cancellation fees,1
264470,2022-07-27,45,F,FALSE,TRUE,usa,bakersfield,11,1,11.73,2,0.18,0,8.56,8.76,2,436.51,0.1,0.18,1,1,0.5,2,200,0.1,0.09,1,4.5,2391.64,0,1 night free hotel with flight,1
276512,2022-08-06,41,F,TRUE,TRUE,usa,austin,12,1.33,14.08,1,0.08,0,10.19,10.4,1,395.69,0.12,0.25,1,1,1,1,100,0.16,0.33,1,1,2409.25,0,1 night free hotel with flight,1
281952,2022-08-11,37,F,FALSE,FALSE,usa,louisville,11,2,20.09,5,0.45,0,12.62,8.83,5,760.76,,0,1,1,0.8,4,161.25,0.15,0.09,1,3.25,4514.37,0,1 night free hotel with flight,1
283325,2022-08-12,50,F,TRUE,FALSE,usa,dallas,13,1.38,14.92,5,0.38,0,6.94,8.21,4,348.32,0.11,0.31,1,1,0.5,5,222.8,0.08,0.15,1.2,1.8,2074.38,0.2,free hotel meal,1
290123,2022-08-18,41,F,TRUE,FALSE,usa,houston,13,2,20.15,8,0.62,0,6.69,6.74,8,636.4,,0,0.88,1.5,0.88,7,272.57,,0,1.57,2.29,2430.28,0,1 night free hotel with flight,1
297546,2022-08-24,51,F,TRUE,FALSE,usa,new york,12,2.33,23.92,8,0.67,0,5.97,5.78,6,406.13,0.1,0.08,0.83,1.33,0.67,7,122.14,0.05,0.08,1.29,5.57,1955.48,0,1 night free hotel with flight,1
298253,2022-08-24,46,F,TRUE,TRUE,usa,los angeles,12,1.08,13,3,0.25,0,7.31,6.79,3,539.3,0.3,0.25,1,1,0.67,1,64,0.15,0.08,1,5,3026.19,0,1 night free hotel with flight,1
299476,2022-08-25,38,F,TRUE,FALSE,usa,atlanta,13,2.54,39,3,0.23,0.33,19.28,19.56,3,1052.21,0.2,0.23,1,1.25,0.25,3,364.75,0.12,0.31,1,3.25,4109.35,0,no cancellation fees,1
306165,2022-08-31,21,F,FALSE,FALSE,usa,cleveland,11,1.18,12.55,0,0,,,,0,,0.1,0.09,0,,,0,,0.05,0.09,,,,0,exclusive discounts,1
306819,2022-09-01,60,F,TRUE,TRUE,usa,new york,11,1.91,32.55,2,0.18,0.5,7.78,7.89,2,90.05,0.1,0.27,1,1,0.33,2,298.67,0.05,0.18,1,0.33,491.64,0,no cancellation fees,1
312488,2022-09-05,30,M,TRUE,FALSE,usa,new york,11,1.18,12.73,3,0.27,0,7.45,7.71,3,600.93,0.25,0.09,1,1,1,3,181.33,0.2,0.09,1,1,3368.88,0,1 night free hotel with flight,1
313724,2022-09-06,51,F,FALSE,FALSE,usa,tulsa,10,3.1,40.3,7,0.7,0.14,7.15,10.5,6,378.15,0.1,0.2,1,1.14,0.71,7,200.5,,0.1,1.25,3.88,1899.18,0,free hotel meal,1
316527,2022-09-08,41,F,TRUE,TRUE,canada,winnipeg,11,1.55,17.09,4,0.36,0,7.84,8.03,4,434.97,0.18,0.18,1,1.25,0.25,4,322.75,0.05,0.09,1.25,2.5,1940.68,0,1 night free hotel with flight,1
317688,2022-09-09,40,F,FALSE,TRUE,usa,indianapolis,12,1.42,15.33,6,0.5,0,7.91,8.88,6,348.58,0.25,0.17,1,1.17,0.5,5,149.6,0.08,0.17,1.2,1.6,1547.36,0.33,1 night free hotel with flight,1
322867,2022-09-14,46,F,FALSE,FALSE,usa,mobile,11,1.27,12.64,3,0.27,0,8.91,9.43,2,371.1,0.13,0.18,1,1,0.5,3,156,0.1,0.18,1,18.33,2144.9,0,1 night free hotel with flight,1
324191,2022-09-15,39,F,FALSE,FALSE,usa,san diego,11,1.73,17.82,4,0.36,0,8.12,8.3,4,323.37,0.12,0.27,1,1.25,0.5,4,287,0.15,0.09,1.25,3.5,1953.78,0,1 night free hotel with flight,1
328590,2022-09-18,55,F,FALSE,FALSE,usa,san diego,11,2.36,39.82,5,0.45,0.2,6.75,8.56,5,779.64,0.1,0.18,1,1.33,0.17,4,156.33,0.15,0.27,1.67,3.33,3464.78,0.2,no cancellation fees,1
330764,2022-09-20,39,F,FALSE,FALSE,usa,detroit,11,2.18,38.45,5,0.45,0.2,7.92,8.94,2,296.64,0.13,0.27,1,2.33,1,5,124.75,0.08,0.27,1,5.25,717.18,0,no cancellation fees,1
330893,2022-09-20,43,F,TRUE,TRUE,usa,oklahoma city,11,1.36,15.55,3,0.27,0,5.91,6.08,3,287.2,,0,1,1,0.67,3,138,0.18,0.18,1,1.67,1603.35,0,1 night free hotel with flight,1
331039,2022-09-20,44,F,TRUE,TRUE,canada,london,11,1.91,22.64,2,0.18,0.5,165.19,165.4,2,1572.24,0.1,0.18,1,3,2,2,217.67,0.08,0.27,1.67,5.33,2346.8,0,free checked bag,1
334787,2022-09-23,52,F,FALSE,FALSE,usa,minneapolis,11,1.64,18.09,5,0.45,0,6.56,6.72,5,388.04,0.07,0.27,1,1.4,1,5,186.4,0.15,0.09,1.4,1.2,1516.75,0.4,1 night free hotel with flight,1
337227,2022-09-25,34,F,TRUE,FALSE,usa,santa ana,10,0.8,11.6,1,0.1,0,29.06,29.15,1,44.78,,0,1,2,1,1,47,0.05,0.1,1,10,124.31,0,1 night free hotel with flight,1
338086,2022-09-25,40,F,FALSE,TRUE,usa,washington,12,1.67,16.42,4,0.33,0,7.72,7.93,4,849.74,0.3,0.08,1,1.75,0.75,4,154.75,0.2,0.08,1.75,1,2335.46,0.25,1 night free hotel with flight,1
340166,2022-09-27,50,M,TRUE,TRUE,usa,san francisco,11,0.55,9.18,1,0.09,0,,3.06,0,,0.23,0.18,0,,,1,237,0.1,0.09,1,2,,0,exclusive discounts,1
343928,2022-09-30,65,F,TRUE,FALSE,usa,el paso,10,1.5,16.1,4,0.4,0,101.63,23.52,4,1505.61,0.3,0.2,1,1.5,0.5,3,162.33,0.1,0.1,1,4.33,6069.39,0,1 night free hotel with flight,1
347778,2022-10-03,49,F,FALSE,FALSE,usa,las vegas,13,2.38,22.92,9,0.69,0,6.02,7.64,8,768.88,0.13,0.23,1,1.38,0.75,8,216.88,0.1,0.08,1.5,2.25,2997.85,0,1 night free hotel with flight,1
348817,2022-10-04,28,F,FALSE,FALSE,canada,calgary,10,1.6,18.3,6,0.6,0,6.74,8.35,4,440,0.05,0.1,1,1,1,6,235.67,0.15,0.1,1,2.17,2407.07,0.17,1 night free hotel with flight,1
348863,2022-10-04,67,F,TRUE,FALSE,usa,san antonio,11,0.82,10.82,0,0,,,,0,,,0,0,,,0,,0.07,0.27,,,,0,exclusive discounts,1
349132,2022-10-04,48,F,FALSE,FALSE,usa,cincinnati,11,1.36,15.09,5,0.45,0,6.57,11.53,3,397.28,0.18,0.18,1,1.67,0.67,5,203.2,0.1,0.09,1.4,4,1712.23,0,1 night free hotel with flight,1
350648,2022-10-05,18,F,FALSE,FALSE,usa,lincoln,9,5.11,34.78,2,0.22,0.5,30.9,31.05,2,196.96,0.18,0.33,1,1,0,2,188.33,0.1,0.22,1,5.33,1233.35,0,no cancellation fees,1
353271,2022-10-07,26,F,FALSE,TRUE,usa,milwaukee,10,0.9,11.3,2,0.2,0,17.09,17.56,2,1470.1,0.15,0.1,1,1.5,0,2,124.5,0.15,0.1,1.5,8.5,8428.11,0,1 night free hotel with flight,1
353694,2022-10-07,39,F,FALSE,TRUE,usa,new york,9,1,13.11,3,0.33,0,33.64,34,3,977.58,0.08,0.44,0.67,1.33,0.67,3,124.33,,0,1.33,6.33,6205.87,0,1 night free hotel with flight,1
354050,2022-10-07,49,F,FALSE,FALSE,usa,detroit,11,2,19.82,6,0.55,0,9.61,9.79,6,337.1,0.05,0.09,0.83,1.17,0.17,6,184.17,0.05,0.09,1.17,1.67,1800.87,0,1 night free hotel with flight,1
354260,2022-10-07,49,F,FALSE,FALSE,usa,providence,9,1.22,14.67,3,0.33,0,35.65,8.87,3,467.79,0.15,0.22,1,1,1,1,260,,0,1,2,2558.41,0.33,1 night free hotel with flight,1
354311,2022-10-08,45,F,TRUE,FALSE,usa,tucson,11,0.73,10.27,2,0.18,0,7.23,6.69,2,536.45,0.13,0.18,1,1,0.5,1,97,,0,1,3,3238.71,0,1 night free hotel with flight,1
354950,2022-10-08,53,M,TRUE,FALSE,usa,amarillo,9,1.11,13.22,2,0.22,0,44.79,45,2,650.11,,0,1,1.5,1,2,141.5,0.1,0.11,1,9,2612.99,0,1 night free hotel with flight,1
356046,2022-10-09,34,F,FALSE,FALSE,canada,ottawa,10,1.4,14.6,4,0.4,0,7.89,8.08,4,384.22,0.15,0.2,1,1.25,0.25,4,173.5,0.08,0.2,1.25,3.5,1854.83,0,1 night free hotel with flight,1
357737,2022-10-10,41,F,TRUE,TRUE,usa,san diego,12,2.67,42.17,8,0.67,0.13,7.31,7.62,7,366.5,,0.08,1,1.13,0.25,8,158,0.08,0.33,1.11,2.89,2130.8,0,no cancellation fees,1
359072,2022-10-11,51,F,TRUE,TRUE,canada,montreal,13,5.92,32.62,5,0.38,0.2,8.57,8.73,5,380.69,0.2,0.23,1,1.17,0.33,5,133.83,,0.08,1.17,1.67,1380.97,0,no cancellation fees,1
359080,2022-10-11,41,F,TRUE,FALSE,usa,new york,11,1.82,18.73,7,0.64,0,54.2,6.47,6,998.49,0.1,0.09,1,1.17,0.67,4,317.75,0.2,0.09,1.5,2.5,3861.76,0.14,1 night free hotel with flight,1
359653,2022-10-12,55,M,FALSE,FALSE,canada,victoria,11,1.64,18,5,0.45,0,7.95,8.15,5,395.48,0.25,0.09,1,1,0.8,5,175.4,0.08,0.18,1,0.8,2131.98,0,1 night free hotel with flight,1
361459,2022-10-13,41,F,TRUE,TRUE,usa,houston,12,0.25,6.75,1,0.08,0,6.97,7.17,1,393.91,0.2,0.08,1,1,1,1,165,0.12,0.25,1,1,2403.54,0,1 night free hotel with flight,1
361759,2022-10-13,52,F,TRUE,FALSE,canada,winnipeg,12,1.17,14.08,5,0.42,0,18.07,8.84,5,829.72,0.16,0.33,1,1.2,0.8,3,79.67,0.07,0.25,1,0.67,3337.05,0,1 night free hotel with flight,1
363535,2022-10-14,30,F,FALSE,FALSE,usa,charlotte,11,4.91,26.45,4,0.36,0.25,8.32,8.49,4,297.6,0.18,0.36,0.75,1.2,0.6,4,178.2,,0.09,1.2,2.2,1604.83,0,no cancellation fees,1
365825,2022-10-16,44,F,FALSE,FALSE,usa,los angeles,10,2.4,42.5,4,0.4,0.25,8.36,17.36,3,119.07,0.1,0.2,0.33,1,0.5,4,224.8,,0.1,1.4,5.6,1151.81,0,free hotel meal,1
371201,2022-10-20,28,M,FALSE,TRUE,usa,new york,10,1.6,16.6,2,0.2,0,8.06,7.71,2,452.44,0.27,0.2,1,1,1.5,1,69,0.05,0.1,1,2,2480.43,0,free checked bag,1
372970,2022-10-21,34,F,FALSE,FALSE,usa,charlotte,9,1.33,13.56,3,0.33,0,32.87,33.36,3,1315.24,0.13,0.22,1,1,0.33,3,179.33,0.15,0.22,1,3,8433.59,0,1 night free hotel with flight,1
373489,2022-10-21,37,F,TRUE,TRUE,usa,wichita,12,1.25,14.25,3,0.25,0,140.46,115.22,2,4124.73,0.23,0.33,1,3.5,2.5,2,220,0.11,0.42,1.5,16.5,10990.48,0,free checked bag,1
374331,2022-10-22,42,M,FALSE,FALSE,usa,milwaukee,11,1.55,34.82,3,0.27,0.33,5.4,6.62,2,164.97,0.13,0.55,1,1,0.67,3,206,0.2,0.18,1.5,8.5,935.78,0,free hotel meal,1
374340,2022-10-22,34,F,TRUE,FALSE,usa,new york,12,1.17,13.17,2,0.17,0,336.62,10.62,1,3966.19,,0,1,2,1,1,102,0.05,0.08,1,11,16455.39,0,1 night free hotel with flight,1
374341,2022-10-22,25,F,FALSE,FALSE,usa,detroit,9,1.11,14.22,4,0.44,0,57.25,23.07,1,4265.3,0.1,0.11,1,2,1,4,135.5,,0,1.75,10.25,11589.27,0,1 night free hotel with flight,1
375160,2022-10-22,20,F,FALSE,FALSE,usa,houston,11,0.27,7.18,1,0.09,0,,25.58,0,,0.05,0.09,0,,,1,528,0.1,0.09,1,23,,0,exclusive discounts,1
375729,2022-10-23,53,F,FALSE,FALSE,usa,atlanta,12,1.5,15.92,5,0.42,0,6.42,6.54,5,271.24,0.11,0.42,1,1,0.4,4,252.5,0.08,0.17,1,3.25,1484.78,0,1 night free hotel with flight,1
375751,2022-10-23,50,F,TRUE,FALSE,usa,cleveland,11,2.73,26.45,3,0.27,0,8.28,8.33,3,235.85,0.2,0.09,1,1,0.33,2,166.5,0.08,0.18,1,2.5,1321.67,0,1 night free hotel with flight,1
376159,2022-10-23,42,F,FALSE,FALSE,usa,long beach,10,1.2,13.9,3,0.3,0,8.88,9.91,2,364.97,,0,1,1,1,3,161.33,,0,1,3,2067.82,0,1 night free hotel with flight,1
377069,2022-10-24,68,F,TRUE,FALSE,usa,new york,10,0.3,26.9,1,0.1,1,192.95,,1,926.67,0.2,0.2,1,2,1,1,,0.05,0.2,,,2911.73,0,no cancellation fees,1
377411,2022-10-24,37,F,TRUE,FALSE,canada,montreal,11,1.36,15.18,3,0.27,0,5.57,5.78,3,561.75,0.12,0.27,1,1.33,0.33,3,110,0.13,0.18,1.33,1.67,2224.24,0.33,1 night free hotel with flight,1
378565,2022-10-25,40,F,TRUE,TRUE,usa,nashville,10,1.7,17.4,7,0.7,0,8.48,6.8,4,326.36,0.09,0.6,1,1,0.75,6,139.17,0.1,0.1,1.17,8.17,1805.78,0,free hotel meal,1
379543,2022-10-25,56,F,TRUE,FALSE,usa,san jose,10,1.5,15.5,5,0.5,0,7.35,7.66,4,340.57,0.1,0.1,1,1,0.5,5,213,0.15,0.1,1,2.4,1931.09,0,1 night free hotel with flight,1
380434,2022-10-26,49,F,TRUE,TRUE,usa,oklahoma city,12,1.25,14.08,5,0.42,0,8.61,8.79,5,334.39,0.13,0.17,1,1,0.6,5,215,0.05,0.08,1,1.8,1822.42,0.2,1 night free hotel with flight,1
380436,2022-10-26,44,F,FALSE,FALSE,usa,new york,10,1.6,17.1,3,0.3,0,8.2,8.35,3,231.36,0.05,0.1,1,1,0.67,3,147.67,0.18,0.2,1,4.33,1367.23,0,1 night free hotel with flight,1
380757,2022-10-26,46,F,FALSE,TRUE,usa,los angeles,11,1.27,14.73,5,0.45,0,9.19,9.36,5,250.15,0.05,0.09,0.8,1,0.2,5,143.4,0.05,0.18,1,4.2,1819.05,0,1 night free hotel with flight,1
380874,2022-10-26,54,F,TRUE,FALSE,usa,louisville,12,1.75,17.33,5,0.42,0,7.57,8.17,5,192.34,,0,1,1,0.6,4,179,0.18,0.25,1,1,995.36,0,1 night free hotel with flight,1
380949,2022-10-26,46,F,FALSE,FALSE,usa,san antonio,11,2.64,42.36,6,0.55,0.17,5.69,5.24,6,377.77,,0.09,1,1,0.14,5,214.67,0.15,0.18,1,2.83,2133.12,0,no cancellation fees,1
381259,2022-10-26,21,F,FALSE,TRUE,usa,san diego,9,1.11,12.22,2,0.22,0,31.18,6.16,2,532.66,,0,1,1,0.5,1,68,0.1,0.11,1,1,2859.52,0,1 night free hotel with flight,1
381465,2022-10-26,33,F,FALSE,FALSE,usa,san antonio,10,5.4,27.2,5,0.5,0.2,26.59,5.84,3,490.51,0.08,0.3,0.67,1,0,4,131.6,,0.1,1,7.2,2563.35,0,no cancellation fees,1
382181,2022-10-27,36,F,TRUE,FALSE,canada,halifax,11,1.36,15.09,5,0.45,0,6.36,6.32,5,420,0.18,0.18,1,1,0.4,3,190.67,0.2,0.09,1,6.67,2339.94,0.2,1 night free hotel with flight,1
382384,2022-10-27,56,F,TRUE,FALSE,usa,st. petersburg,10,0.8,10.4,2,0.2,0,8.66,8.81,2,243.35,,0,1,1,1,2,146.5,,0,1,1,1391.23,0,1 night free hotel with flight,1
382533,2022-10-27,18,F,FALSE,FALSE,usa,long beach,11,0.45,7.18,0,0,,,,0,,0.2,0.09,0,,,0,,0.05,0.09,,,,0,exclusive discounts,1
385689,2022-10-29,49,F,FALSE,TRUE,usa,nashville,11,1.09,11.55,5,0.45,0,7.98,11.77,3,431.44,0.15,0.18,1,1.33,0.33,5,172.4,,0,1.2,4.6,1940.22,0.2,1 night free hotel with flight,1
386255,2022-10-30,32,F,FALSE,TRUE,usa,mobile,11,0.64,9.27,2,0.18,0,13.62,13.69,1,432.53,0.1,0.27,1,1,0,2,211.5,0.05,0.09,1.5,3,2402.81,0,free hotel meal,1
386469,2022-10-30,17,F,FALSE,FALSE,usa,stockton,10,1,12.2,1,0.1,0,,54.61,0,,0.3,0.1,0,,,1,497,,0,1,10,,0,exclusive discounts,1
386914,2022-10-30,46,F,TRUE,TRUE,canada,hamilton,12,1,28.25,3,0.25,0.33,95.43,8,3,5723.39,0.1,0.17,1,3,2.25,3,220,0.13,0.33,1,2.5,7292.4,0,free checked bag,1
387282,2022-10-30,30,F,FALSE,TRUE,usa,amarillo,9,0.89,12.11,2,0.22,0,57.02,29.89,1,342.11,0.18,0.22,1,1,0,2,201.5,0.1,0.11,2,8,2245.08,0,free hotel meal,1
